com.samsung.health.step_count
time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
-18000000,2017-02-22 09:12:00.000,1.3888888,com.sec.android.app.shealth,2017-02-22 09:11:00.000,22,,0.97,18.23,bf41416c-1193-469a-9422-29f03d12fd50,cjZW13ds5D,2017-02-22 09:12:55.482,2017-02-22 09:12:55.482
-18000000,2017-02-22 09:30:00.000,1.6388888,com.sec.android.app.shealth,2017-02-22 09:29:00.000,18,,0.85,15.55,f24675aa-b070-402a-8583-4631b91127e1,cjZW13ds5D,2017-02-22 09:35:00.757,2017-02-22 09:35:00.757
-18000000,2017-02-22 11:18:00.000,2.0833333,com.sec.android.app.shealth,2017-02-22 11:17:00.000,84,,3.63,70.84,e8fc8fe1-a5bf-48d9-96b6-403073d2dc58,cjZW13ds5D,2017-02-22 11:18:57.951,2017-02-22 11:18:57.951
-18000000,2017-02-22 11:19:00.000,1.0000001,com.sec.android.app.shealth,2017-02-22 11:18:00.000,9,,0.43,6.44,c579b591-aac1-4ef2-9664-2c52fd79ff9d,cjZW13ds5D,2017-02-22 11:18:58.161,2017-02-22 11:18:58.161
-18000000,2017-02-22 11:21:00.000,1.75,com.sec.android.app.shealth,2017-02-22 11:20:00.000,31,,1.8,28.14,5b5e7c9a-658c-48ef-bf6f-87cbdafbdc7f,cjZW13ds5D,2017-02-22 11:21:38.154,2017-02-22 11:21:38.154
-18000000,2017-02-22 11:22:00.000,1.6029733,com.sec.android.app.shealth,2017-02-22 11:21:00.000,37,,1.6299999,29.880001,bfa91f0a-d2dd-4de3-b239-5d11780991b2,cjZW13ds5D,2017-02-22 11:21:57.330,2017-02-22 11:21:38.198
-18000000,2017-02-22 11:23:00.000,1.9166666,com.sec.android.app.shealth,2017-02-22 11:22:00.000,7,,0.3,5.78,f895ee47-7839-4d99-b4b6-7d973340e8e1,cjZW13ds5D,2017-02-22 11:22:37.414,2017-02-22 11:22:37.414
-18000000,2017-02-22 11:56:00.000,2.0561266,com.sec.android.app.shealth,2017-02-22 11:55:00.000,41,,2.4,36.79,7c998389-1b34-49a3-a1ed-f7646f6c0374,cjZW13ds5D,2017-02-22 11:58:45.185,2017-02-22 11:55:24.018
-18000000,2017-02-22 11:57:00.000,2.3333333,com.sec.android.app.shealth,2017-02-22 11:56:00.000,74,,5.29,73.15,60cc9b8a-6b95-4da5-a7c0-789bad81fc7e,cjZW13ds5D,2017-02-22 11:58:45.255,2017-02-22 11:58:45.255
-18000000,2017-02-22 11:58:00.000,3.7222223,com.sec.android.app.shealth,2017-02-22 11:57:00.000,79,,7.97,97.19,0c8db4b3-a51b-4f4d-8053-424bc7ca754f,cjZW13ds5D,2017-02-22 11:58:45.308,2017-02-22 11:58:45.308
-18000000,2017-02-22 11:59:00.000,3.4499848,com.sec.android.app.shealth,2017-02-22 11:58:00.000,31,,2.91,35.14,1b0677e5-25a2-45c4-be47-d7b9fb140f85,cjZW13ds5D,2017-02-22 12:05:06.077,2017-02-22 11:58:45.344
-18000000,2017-02-22 12:00:00.000,2.8888888,com.sec.android.app.shealth,2017-02-22 11:59:00.000,63,,5.12,65.22,5a1d35dc-562a-4c4b-8b35-68ed6c8bb690,cjZW13ds5D,2017-02-22 12:05:06.139,2017-02-22 12:05:06.139
-18000000,2017-02-22 12:04:00.000,2.9722223,com.sec.android.app.shealth,2017-02-22 12:03:00.000,8,,0.54,8.05,da63104f-7be5-4cb6-a827-be29389cd29e,cjZW13ds5D,2017-02-22 12:05:06.187,2017-02-22 12:05:06.187
